"","team","season","coach_first_name","coach_last_name","coach_aux_1","coach_aux_2","grad_yr"
"1","A&M-Corpus Christi","2009-2010","Robert","Robinson",NA,NA,"1993"
"2","Air Force","2009-2010","Ardie","McInelly",NA,NA,"1982"
"3","Akron","2009-2010","Jodi","Kest",NA,NA,"1984"
"4","Alabama","2009-2010","Wendell","Hudson",NA,NA,"1973"
"5","Alabama A&M","2009-2010","Altherias","Warmley",NA,NA,"1990"
"6","Alabama St.","2009-2010","Freda","Freeman-Jackson",NA,NA,"1984"
"7","Albany (NY)","2009-2010","Trina","Patterson",NA,NA,"1987"
"8","Alcorn","2009-2010","Tonya","Edwards",NA,NA,"1990"
"9","American","2009-2010","Matt","Corkery",NA,NA,"1993"
"10","Appalachian St.","2009-2010","Darcie","Vincent",NA,NA,"1992"
"11","Arizona","2009-2010","Niya","Butts",NA,NA,"2000"
"12","Arizona St.","2009-2010","Charli","Turner","Thorne",NA,"88"
"13","Ark.-Pine Bluff","2009-2010","Cary","Shelton",NA,NA,"2005"
"14","Arkansas","2009-2010","Tom","Collen",NA,NA,"1990"
"15","Arkansas St.","2009-2010","Brian","Boyer",NA,NA,"1993"
"16","Army West Point","2009-2010","Dave","Magarity",NA,NA,"1974"
"17","Auburn","2009-2010","Nell","Fortner",NA,NA,"1982"
"18","Austin Peay","2009-2010","Carrie","Daniels",NA,NA,"1996"
"19","BYU","2009-2010","Jeff","Judkins",NA,NA,"1978"
"20","Ball St.","2009-2010","Kelly","Packard",NA,NA,"1990"
"21","Baylor","2009-2010","Kim","Mulkey",NA,NA,"1984"
"22","Belmont","2009-2010","Tony","Cross",NA,NA,"1974"
"23","Bethune-Cookman","2009-2010","Vanessa","Blair-Lewis",NA,NA,"1992"
"24","Binghamton","2009-2010","Nicole","Scholl",NA,NA,"1994"
"25","Boise St.","2009-2010","Gordy","Presnell",NA,NA,"1983"
"26","Boston College","2009-2010","Sylvia","Crawley",NA,NA,"1994"
"27","Boston U.","2009-2010","Kelly","Greenberg",NA,NA,"1989"
"28","Bowling Green","2009-2010","Curt","Miller",NA,NA,NA
"29","Bradley","2009-2010","Paula","Buscher",NA,NA,"1986"
"30","Brown","2009-2010","Jean","Marie","Burr",NA,"1977"
"31","Bryant","2009-2010","Mary","Burke",NA,NA,"1987"
"32","Bucknell","2009-2010","Kathaleen","Fedorjaka",NA,NA,"1990"
"33","Buffalo","2009-2010","Linda","Hill-MacDonald",NA,NA,"1970"
"34","Butler","2009-2010","Beth","Couture",NA,NA,"1984"
"35","CSU Bakersfield","2009-2010","Tim","LaKose",NA,NA,"1991"
"36","CSUN","2009-2010","Staci","Schulz",NA,NA,"1996"
"37","Cal Poly","2009-2010","Faith","Mimnaugh",NA,NA,"1985"
"38","Cal St. Fullerton","2009-2010","Marcia","Foster",NA,NA,"1984"
"39","California","2009-2010","Joanne","Boyle",NA,NA,"1985"
"40","Campbell","2009-2010","Wanda","Watkins",NA,NA,"1979"
"41","Canisius","2009-2010","Terry","Zeh",NA,NA,"1990"
"42","Centenary (LA)","2009-2010","Bojan","Jankovic",NA,NA,NA
"43","Central Ark.","2009-2010","Matt","Daniel",NA,NA,"1998"
"44","Central Conn. St.","2009-2010","Beryl","Piper",NA,NA,"1987"
"45","Central Mich.","2009-2010","Sue","Guevara",NA,NA,"1982"
"46","Charleston So.","2009-2010","Julie","Goodenough",NA,NA,"1991"
"47","Charlotte","2009-2010","Karen","Aston",NA,NA,"1987"
"48","Chattanooga","2009-2010","Wes","Moore",NA,NA,"1986"
"49","Chicago St.","2009-2010","Angela","Jackson",NA,NA,"1991"
"50","Cincinnati","2009-2010","Jamelle","Elliott",NA,NA,NA
"51","Clemson","2009-2010","Cristy","McKinney",NA,NA,"1979"
"52","Cleveland St.","2009-2010","Kate","Peterson","Abiad",NA,"1991"
"53","Coastal Caro.","2009-2010","Alan","LeForce",NA,NA,NA
"54","Col. of Charleston","2009-2010","Nancy","Wilson",NA,NA,"1973"
"55","Colgate","2009-2010","Pamela","Bass",NA,NA,"1991"
"56","Colorado","2009-2010","Kathy","McConnell-Miller",NA,NA,"1989"
"57","Colorado St.","2009-2010","Kristen","Holt",NA,NA,"1993"
"58","Columbia","2009-2010","Paul","Nixon",NA,NA,"1993"
"59","Coppin St.","2009-2010","Derek","Brown",NA,NA,NA
"60","Cornell","2009-2010","Dayna","Smith",NA,NA,"1996"
"61","Creighton","2009-2010","Jim","Flanery",NA,NA,"1987"
"62","Dartmouth","2009-2010","Christina","""Chris""","Wielgus",NA,"1974"
"63","Davidson","2009-2010","Annette","Watts",NA,NA,"1981"
"64","Dayton","2009-2010","Jim","Jabir",NA,NA,"1984"
"65","DePaul","2009-2010","Doug","Bruno",NA,NA,"1973"
"66","Delaware","2009-2010","Tina","Martin",NA,NA,"1986"
"67","Delaware St.","2009-2010","Ed","Davis",NA,NA,"1973"
"68","Denver","2009-2010","Erik","Johnson",NA,NA,NA
"69","Detroit Mercy","2009-2010","Autumn","Rademacher",NA,NA,"1997"
"70","Drake","2009-2010","Amy","Stephens",NA,NA,"1991"
"71","Drexel","2009-2010","Denise","Dillon",NA,NA,"1996"
"72","Duke","2009-2010","Joanne","P.","McCallie",NA,"1987"
"73","Duquesne","2009-2010","Suzie","McConnell-Serio",NA,NA,"1988"
